file,x,y,facing,edge,wall,fraction,off_fwd_mm,off_left_mm
run_000.png,0,0,N,front,0,0.0000,0.0,5.9
run_000.png,0,0,N,back,1,0.6134,0.0,5.9
run_000.png,0,0,N,left,1,0.4465,0.0,5.9
run_000.png,0,0,N,right,0,0.0000,0.0,5.9
run_000.png,0,0,N,right:back,1,0.5418,0.0,5.9
run_000.png,0,0,N,right:front,1,0.4847,0.0,5.9
run_000.png,0,0,N,right:right,1,0.8527,0.0,5.9
run_001.png,0,1,N,front,1,0.4156,0.0,2.3
run_001.png,0,1,N,back,0,0.0000,0.0,2.3
run_001.png,0,1,N,left,1,0.4474,0.0,2.3
run_001.png,0,1,N,right,0,0.0000,0.0,2.3
run_001.png,0,1,N,right:back,1,0.4849,0.0,2.3
run_001.png,0,1,N,right:front,0,0.0000,0.0,2.3
run_001.png,0,1,N,right:right,0,0.0000,0.0,2.3
run_003.png,2,1,N,front,0,0.0000,,5.9
run_003.png,2,1,N,back,0,0.0000,,5.9
run_003.png,2,1,N,left,0,0.0000,,5.9
run_003.png,2,1,N,right,1,0.4451,,5.9
run_003.png,2,1,N,left:back,1,0.4992,,5.9
run_003.png,2,1,N,left:front,0,0.0000,,5.9
run_003.png,2,1,N,left:left,0,0.0000,,5.9
run_003.png,2,1,N,right:back,1,0.4976,,5.9
run_003.png,2,1,N,right:front,0,0.0000,,5.9
run_003.png,2,1,N,right:right,0,0.0000,,5.9
run_004.png,2,2,N,front,1,0.4098,-3.5,-4.7
run_004.png,2,2,N,back,0,0.0000,-3.5,-4.7
run_004.png,2,2,N,left,1,0.4501,-3.5,-4.7
run_004.png,2,2,N,right,0,0.0000,-3.5,-4.7
run_004.png,2,2,N,left:back,0,0.0000,-3.5,-4.7
run_004.png,2,2,N,left:front,1,0.4701,-3.5,-4.7
run_004.png,2,2,N,left:left,0,0.0000,-3.5,-4.7
run_004.png,2,2,N,right:back,0,0.0000,-3.5,-4.7
run_004.png,2,2,N,right:front,1,0.4665,-3.5,-4.7
run_004.png,2,2,N,right:right,1,0.8400,-3.5,-4.7
run_005.png,3,2,N,front,1,0.4072,-3.5,5.9
run_005.png,3,2,N,back,0,0.0000,-3.5,5.9
run_005.png,3,2,N,left,0,0.0000,-3.5,5.9
run_005.png,3,2,N,right,1,0.4446,-3.5,5.9
run_005.png,3,2,N,left:back,0,0.0000,-3.5,5.9
run_005.png,3,2,N,left:front,1,0.4710,-3.5,5.9
run_005.png,3,2,N,left:left,1,0.8469,-3.5,5.9
run_005.png,3,2,N,right:back,0,0.0000,-3.5,5.9
run_005.png,3,2,N,right:front,1,0.4701,-3.5,5.9
run_005.png,3,2,N,right:right,0,0.0000,-3.5,5.9
run_006.png,3,1,N,front,0,0.0000,1.2,2.3
run_006.png,3,1,N,back,1,0.5642,1.2,2.3
run_006.png,3,1,N,left,1,0.4478,1.2,2.3
run_006.png,3,1,N,right,0,0.0000,1.2,2.3
run_006.png,3,1,N,left:back,0,0.0000,1.2,2.3
run_006.png,3,1,N,left:front,0,0.0000,1.2,2.3
run_006.png,3,1,N,left:left,0,0.0000,1.2,2.3
run_006.png,3,1,N,right:back,0,0.0000,1.2,2.3
run_006.png,3,1,N,right:front,0,0.0000,1.2,2.3
run_006.png,3,1,N,right:right,0,0.0000,1.2,2.3
run_008.png,5,1,N,front,1,0.4189,-13.0,3.5
run_008.png,5,1,N,back,0,0.0000,-13.0,3.5
run_008.png,5,1,N,left,0,0.0000,-13.0,3.5
run_008.png,5,1,N,right,1,0.4534,-13.0,3.5
run_008.png,5,1,N,left:back,0,0.0000,-13.0,3.5
run_008.png,5,1,N,left:front,0,0.0000,-13.0,3.5
run_008.png,5,1,N,left:left,0,0.0000,-13.0,3.5
run_008.png,5,1,N,right:back,0,0.0000,-13.0,3.5
run_008.png,5,1,N,right:front,0,0.0000,-13.0,3.5
run_008.png,5,1,N,right:right,0,0.0000,-13.0,3.5
run_009.png,4,1,N,front,0,0.0000,,
run_009.png,4,1,N,back,0,0.0000,,
run_009.png,4,1,N,left,0,0.0000,,
run_009.png,4,1,N,right,0,0.0000,,
run_009.png,4,1,N,left:back,1,0.4911,,
run_009.png,4,1,N,left:front,0,0.0000,,
run_009.png,4,1,N,left:left,1,0.8706,,
run_009.png,4,1,N,right:back,0,0.0000,,
run_009.png,4,1,N,right:front,1,0.4716,,
run_009.png,4,1,N,right:right,1,0.8183,,
run_010.png,4,2,N,front,1,0.4126,-8.2,0.0
run_010.png,4,2,N,back,0,0.0000,-8.2,0.0
run_010.png,4,2,N,left,1,0.4539,-8.2,0.0
run_010.png,4,2,N,right,0,0.0000,-8.2,0.0
run_010.png,4,2,N,left:back,0,0.0000,-8.2,0.0
run_010.png,4,2,N,left:front,1,0.4751,-8.2,0.0
run_010.png,4,2,N,left:left,0,0.0000,-8.2,0.0
run_010.png,4,2,N,right:back,1,0.4773,-8.2,0.0
run_010.png,4,2,N,right:front,0,0.0000,-8.2,0.0
run_010.png,4,2,N,right:right,1,0.8214,-8.2,0.0
run_011.png,5,2,N,front,0,0.0000,-4.7,-1.2
run_011.png,5,2,N,back,1,0.5526,-4.7,-1.2
run_011.png,5,2,N,left,0,0.0000,-4.7,-1.2
run_011.png,5,2,N,right,1,0.4543,-4.7,-1.2
run_011.png,5,2,N,left:back,0,0.0000,-4.7,-1.2
run_011.png,5,2,N,left:front,1,0.4730,-4.7,-1.2
run_011.png,5,2,N,left:left,1,0.8508,-4.7,-1.2
run_011.png,5,2,N,right:back,0,0.0000,-4.7,-1.2
run_011.png,5,2,N,right:front,0,0.0000,-4.7,-1.2
run_011.png,5,2,N,right:right,0,0.0000,-4.7,-1.2
run_012.png,5,3,N,front,0,0.0000,,0.0
run_012.png,5,3,N,back,0,0.0000,,0.0
run_012.png,5,3,N,left,1,0.4539,,0.0
run_012.png,5,3,N,right,0,0.0000,,0.0
run_012.png,5,3,N,left:back,1,0.4754,,0.0
run_012.png,5,3,N,left:front,0,0.0000,,0.0
run_012.png,5,3,N,left:left,0,0.0000,,0.0
run_012.png,5,3,N,right:back,0,0.0000,,0.0
run_012.png,5,3,N,right:front,1,0.4651,,0.0
run_012.png,5,3,N,right:right,1,0.8164,,0.0
run_013.png,5,4,N,front,1,0.4025,-3.5,-1.2
run_013.png,5,4,N,back,0,0.0000,-3.5,-1.2
run_013.png,5,4,N,left,1,0.4529,-3.5,-1.2
run_013.png,5,4,N,right,0,0.0000,-3.5,-1.2
run_013.png,5,4,N,left:back,0,0.0000,-3.5,-1.2
run_013.png,5,4,N,left:front,0,0.0000,-3.5,-1.2
run_013.png,5,4,N,left:left,0,0.0000,-3.5,-1.2
run_013.png,5,4,N,right:back,1,0.4581,-3.5,-1.2
run_013.png,5,4,N,right:front,0,0.0000,-3.5,-1.2
run_013.png,5,4,N,right:right,1,0.8274,-3.5,-1.2
run_014.png,6,4,N,front,0,0.0000,-3.5,0.0
run_014.png,6,4,N,back,1,0.5393,-3.5,0.0
run_014.png,6,4,N,left,0,0.0000,-3.5,0.0
run_014.png,6,4,N,right,1,0.4606,-3.5,0.0
run_014.png,6,4,N,left:back,0,0.0000,-3.5,0.0
run_014.png,6,4,N,left:front,1,0.4686,-3.5,0.0
run_014.png,6,4,N,left:left,1,0.8432,-3.5,0.0
run_014.png,6,4,N,right:back,1,0.4766,-3.5,0.0
run_014.png,6,4,N,right:front,0,0.0000,-3.5,0.0
run_014.png,6,4,N,right:right,1,0.8191,-3.5,0.0
run_015.png,6,5,N,front,0,0.0000,,
run_015.png,6,5,N,back,0,0.0000,,
run_015.png,6,5,N,left,0,0.0000,,
run_015.png,6,5,N,right,0,0.0000,,
run_015.png,6,5,N,left:back,1,0.4672,,
run_015.png,6,5,N,left:front,1,0.4603,,
run_015.png,6,5,N,left:left,1,0.8148,,
run_015.png,6,5,N,right:back,0,0.0000,,
run_015.png,6,5,N,right:front,1,0.4550,,
run_015.png,6,5,N,right:right,1,0.8436,,
run_016.png,6,6,N,front,1,0.4022,0.0,
run_016.png,6,6,N,back,0,0.0000,0.0,
run_016.png,6,6,N,left,0,0.0000,0.0,
run_016.png,6,6,N,right,0,0.0000,0.0,
