file,x,y,facing,edge,wall,fraction,off_fwd_mm,off_left_mm
run_001.png,0,0,N,front,0,0.0000,8.2,4.1
run_001.png,0,0,N,back,1,0.5564,8.2,4.1
run_001.png,0,0,N,left,1,0.4480,8.2,4.1
run_001.png,0,0,N,right,1,0.4784,8.2,4.1
run_001.png,0,0,N,right:back,1,0.4808,8.2,4.1
run_001.png,0,0,N,right:front,0,0.0000,8.2,4.1
run_001.png,0,0,N,right:right,0,0.0000,8.2,4.1
run_003.png,0,1,N,front,0,0.0000,,0.0
run_003.png,0,1,N,back,0,0.0000,,0.0
run_003.png,0,1,N,left,1,0.4529,,0.0
run_003.png,0,1,N,right,0,0.0000,,0.0
run_003.png,0,1,N,right:back,0,0.0000,,0.0
run_003.png,0,1,N,right:front,0,0.0000,,0.0
run_003.png,0,1,N,right:right,0,0.0000,,0.0
run_005.png,0,2,N,front,1,0.4239,4.7,-1.2
run_005.png,0,2,N,back,0,0.0000,4.7,-1.2
run_005.png,0,2,N,left,1,0.4550,4.7,-1.2
run_005.png,0,2,N,right,0,0.0000,4.7,-1.2
run_005.png,0,2,N,right:back,0,0.0000,4.7,-1.2
run_005.png,0,2,N,right:front,1,0.4942,4.7,-1.2
run_005.png,0,2,N,right:right,1,0.8734,4.7,-1.2
run_007.png,1,2,N,front,1,0.4303,-2.4,-5.9
run_007.png,1,2,N,back,0,0.0000,-2.4,-5.9
run_007.png,1,2,N,left,0,0.0000,-2.4,-5.9
run_007.png,1,2,N,right,1,0.4583,-2.4,-5.9
run_007.png,1,2,N,left:back,0,0.0000,-2.4,-5.9
run_007.png,1,2,N,left:front,1,0.4887,-2.4,-5.9
run_007.png,1,2,N,left:left,1,0.8353,-2.4,-5.9
run_007.png,1,2,N,right:back,0,0.0000,-2.4,-5.9
run_007.png,1,2,N,right:front,1,0.5018,-2.4,-5.9
run_007.png,1,2,N,right:right,1,0.8443,-2.4,-5.9
run_009.png,1,1,N,front,0,0.0000,,
run_009.png,1,1,N,back,0,0.0000,,
run_009.png,1,1,N,left,0,0.0000,,
run_009.png,1,1,N,right,0,0.0000,,
run_009.png,1,1,N,left:back,0,0.0000,,
run_009.png,1,1,N,left:front,0,0.0000,,
run_009.png,1,1,N,left:left,1,0.8171,,
run_009.png,1,1,N,right:back,0,0.0000,,
run_009.png,1,1,N,right:front,0,0.0000,,
run_009.png,1,1,N,right:right,1,0.8208,,
run_011.png,2,1,N,front,0,0.0000,,-3.5
run_011.png,2,1,N,back,0,0.0000,,-3.5
run_011.png,2,1,N,left,0,0.0000,,-3.5
run_011.png,2,1,N,right,1,0.4467,,-3.5
run_011.png,2,1,N,left:back,0,0.0000,,-3.5
run_011.png,2,1,N,left:front,0,0.0000,,-3.5
run_011.png,2,1,N,left:left,0,0.0000,,-3.5
run_013.png,2,2,N,front,1,0.4421,-2.4,-0.6
run_013.png,2,2,N,back,0,0.0000,-2.4,-0.6
run_013.png,2,2,N,left,1,0.4657,-2.4,-0.6
run_013.png,2,2,N,right,1,0.4612,-2.4,-0.6
run_013.png,2,2,N,left:back,0,0.0000,-2.4,-0.6
run_013.png,2,2,N,left:front,1,0.4876,-2.4,-0.6
run_013.png,2,2,N,left:left,0,0.0000,-2.4,-0.6
