file,x,y,facing,edge,wall,fraction,off_fwd_mm,off_left_mm
run_001.png,0,0,N,front,0,0.0000,,
run_001.png,0,0,N,back,1,0.9665,,
run_001.png,0,0,N,left,1,0.4739,,
run_001.png,0,0,N,right,1,0.4991,,
run_001.png,0,0,N,right:back,1,0.4760,,
run_001.png,0,0,N,right:front,0,0.0000,,
run_001.png,0,0,N,right:right,0,0.0000,,
run_003.png,0,1,N,front,0,0.0000,,2.3
run_003.png,0,1,N,back,0,0.0000,,2.3
run_003.png,0,1,N,left,1,0.4465,,2.3
run_003.png,0,1,N,right,0,0.0009,,2.3
run_003.png,0,1,N,right:back,0,0.0000,,2.3
run_003.png,0,1,N,right:front,0,0.0000,,2.3
run_003.png,0,1,N,right:right,0,0.0000,,2.3
run_005.png,0,2,N,front,1,0.4266,9.4,-1.2
run_005.png,0,2,N,back,0,0.0000,9.4,-1.2
run_005.png,0,2,N,left,1,0.4563,9.4,-1.2
run_005.png,0,2,N,right,0,0.0000,9.4,-1.2
run_005.png,0,2,N,right:back,0,0.0000,9.4,-1.2
run_005.png,0,2,N,right:front,1,0.4913,9.4,-1.2
run_005.png,0,2,N,right:right,1,0.8873,9.4,-1.2
run_007.png,1,2,N,front,1,0.4274,-1.2,-4.7
run_007.png,1,2,N,back,0,0.0000,-1.2,-4.7
run_007.png,1,2,N,left,0,0.0000,-1.2,-4.7
run_007.png,1,2,N,right,1,0.4598,-1.2,-4.7
run_007.png,1,2,N,left:back,0,0.0000,-1.2,-4.7
run_007.png,1,2,N,left:front,1,0.4843,-1.2,-4.7
run_007.png,1,2,N,left:left,1,0.8317,-1.2,-4.7
run_007.png,1,2,N,right:back,0,0.0000,-1.2,-4.7
run_007.png,1,2,N,right:front,1,0.4985,-1.2,-4.7
run_007.png,1,2,N,right:right,1,0.8308,-1.2,-4.7
run_009.png,1,1,N,front,0,0.0000,,
run_009.png,1,1,N,back,0,0.0000,,
run_009.png,1,1,N,left,0,0.0000,,
run_009.png,1,1,N,right,0,0.0000,,
run_009.png,1,1,N,left:back,0,0.0000,,
run_009.png,1,1,N,left:front,0,0.0000,,
run_009.png,1,1,N,left:left,1,0.8338,,
run_009.png,1,1,N,right:back,0,0.0000,,
run_009.png,1,1,N,right:front,0,0.0000,,
run_009.png,1,1,N,right:right,1,0.8243,,
run_011.png,2,1,N,front,0,0.0000,,-2.3
run_011.png,2,1,N,back,0,0.0000,,-2.3
run_011.png,2,1,N,left,0,0.0000,,-2.3
run_011.png,2,1,N,right,1,0.4503,,-2.3
run_011.png,2,1,N,left:back,0,0.0000,,-2.3
run_011.png,2,1,N,left:front,0,0.0000,,-2.3
run_011.png,2,1,N,left:left,0,0.0000,,-2.3
run_013.png,2,2,N,front,1,0.4361,1.2,1.8
run_013.png,2,2,N,back,0,0.0000,1.2,1.8
run_013.png,2,2,N,left,1,0.4540,1.2,1.8
run_013.png,2,2,N,right,1,0.4545,1.2,1.8
run_013.png,2,2,N,left:back,0,0.0000,1.2,1.8
run_013.png,2,2,N,left:front,1,0.4906,1.2,1.8
run_013.png,2,2,N,left:left,0,0.0000,1.2,1.8
