file,x,y,facing,edge,wall,fraction,off_fwd_mm,off_left_mm
run_001.png,0,0,N,front,0,0.0000,,
run_001.png,0,0,N,back,1,1.0000,,
run_001.png,0,0,N,left,1,0.4553,,
run_001.png,0,0,N,right,1,0.4937,,
run_001.png,0,0,N,right:back,1,0.4822,,
run_001.png,0,0,N,right:front,0,0.0000,,
run_001.png,0,0,N,right:right,0,0.0264,,
run_003.png,0,1,N,front,0,0.0000,,9.4
run_003.png,0,1,N,back,0,0.0000,,9.4
run_003.png,0,1,N,left,1,0.4521,,9.4
run_003.png,0,1,N,right,0,0.0109,,9.4
run_003.png,0,1,N,right:back,0,0.0000,,9.4
run_003.png,0,1,N,right:front,0,0.0000,,9.4
run_003.png,0,1,N,right:right,0,0.0000,,9.4
run_005.png,0,2,N,front,1,0.3830,20.0,5.9
run_005.png,0,2,N,back,0,0.0000,20.0,5.9
run_005.png,0,2,N,left,1,0.4798,20.0,5.9
run_005.png,0,2,N,right,0,0.0465,20.0,5.9
run_005.png,0,2,N,right:back,0,0.0000,20.0,5.9
run_005.png,0,2,N,right:front,1,0.5001,20.0,5.9
run_005.png,0,2,N,right:right,1,0.8899,20.0,5.9
run_007.png,1,2,N,front,1,0.4275,3.5,-10.6
run_007.png,1,2,N,back,0,0.0000,3.5,-10.6
run_007.png,1,2,N,left,0,0.0000,3.5,-10.6
run_007.png,1,2,N,right,1,0.4639,3.5,-10.6
run_007.png,1,2,N,left:back,0,0.0000,3.5,-10.6
run_007.png,1,2,N,left:front,1,0.4868,3.5,-10.6
run_007.png,1,2,N,left:left,1,0.5926,3.5,-10.6
run_007.png,1,2,N,right:back,0,0.0000,3.5,-10.6
run_007.png,1,2,N,right:front,1,0.5044,3.5,-10.6
run_007.png,1,2,N,right:right,1,0.8519,3.5,-10.6
run_009.png,1,1,N,front,0,0.0000,,
run_009.png,1,1,N,back,0,0.0000,,
run_009.png,1,1,N,left,0,0.0000,,
run_009.png,1,1,N,right,0,0.0000,,
run_009.png,1,1,N,left:back,0,0.0000,,
run_009.png,1,1,N,left:front,0,0.0000,,
run_009.png,1,1,N,left:left,1,0.8396,,
run_009.png,1,1,N,right:back,0,0.0000,,
run_009.png,1,1,N,right:front,0,0.0000,,
run_009.png,1,1,N,right:right,1,0.8315,,
run_011.png,2,1,N,front,0,0.0000,,-1.2
run_011.png,2,1,N,back,0,0.0000,,-1.2
run_011.png,2,1,N,left,0,0.0000,,-1.2
run_011.png,2,1,N,right,1,0.4497,,-1.2
run_011.png,2,1,N,left:back,0,0.0000,,-1.2
run_011.png,2,1,N,left:front,0,0.0000,,-1.2
run_011.png,2,1,N,left:left,0,0.0000,,-1.2
run_013.png,2,2,N,front,1,0.4312,0.0,-0.6
run_013.png,2,2,N,back,0,0.0000,0.0,-0.6
run_013.png,2,2,N,left,1,0.4655,0.0,-0.6
run_013.png,2,2,N,right,1,0.4621,0.0,-0.6
run_013.png,2,2,N,left:back,0,0.0000,0.0,-0.6
run_013.png,2,2,N,left:front,1,0.4920,0.0,-0.6
run_013.png,2,2,N,left:left,0,0.0000,0.0,-0.6
